タイムスタンプ,氏名,学会・会議などの予定（自由記載）,2025年10月 勤務希望 [10/1(水)],2025年10月 勤務希望 [10/2(木)],2025年10月 勤務希望 [10/3(金)],2025年10月 勤務希望 [10/4(土) 🟥],2025年10月 勤務希望 [10/5(日) 🟥],2025年10月 勤務希望 [10/6(月)],2025年10月 勤務希望 [10/7(火)],2025年10月 勤務希望 [10/8(水)],2025年10月 勤務希望 [10/9(木)],2025年10月 勤務希望 [10/10(金)],2025年10月 勤務希望 [10/11(土) 🟥],2025年10月 勤務希望 [10/12(日) 🟥],2025年10月 勤務希望 [10/13(月・祝) 🟥],2025年10月 勤務希望 [10/14(火)],2025年10月 勤務希望 [10/15(水)],2025年10月 勤務希望 [10/16(木)],2025年10月 勤務希望 [10/17(金)],2025年10月 勤務希望 [10/18(土) 🟥],2025年10月 勤務希望 [10/19(日) 🟥],2025年10月 勤務希望 [10/20(月)],2025年10月 勤務希望 [10/21(火)],2025年10月 勤務希望 [10/22(水)],2025年10月 勤務希望 [10/23(木)],2025年10月 勤務希望 [10/24(金)],2025年10月 勤務希望 [10/25(土) 🟥],2025年10月 勤務希望 [10/26(日) 🟥],2025年10月 勤務希望 [10/27(月)],2025年10月 勤務希望 [10/28(火)],2025年10月 勤務希望 [10/29(水)],2025年10月 勤務希望 [10/30(木)],2025年10月 勤務希望 [10/31(金)]
2025/09/05 17:25:53,診断02,,,,,,当直希望,,,,,,,日勤・当直不可,日勤・当直不可,,,,当直不可,,,,,,,当直不可,,日勤・当直不可,日勤・当直不可,,,,当直希望
2025/09/05 17:27:22,診断03,,,,当直不可,日勤・当直不可,,,,,,当直不可,日勤・当直不可,,,,,,当直不可,日勤・当直不可,日勤・当直不可,日勤・当直不可,,,,,日勤・当直不可,,,,,,
2025/09/05 17:28:34,診断05,,,当直不可,当直不可,日勤・当直不可,日勤・当直不可,,,,当直不可,日勤・当直不可,,,,,,当直不可,,,,,,,当直不可,,,,,,,当直不可,日勤・当直不可
2025/09/05 17:29:34,診断06,,,,,,,,,,,,日勤・当直不可,,,,当直不可,日勤・当直不可,日勤・当直不可,日勤・当直不可,日勤・当直不可,,,,,日勤・当直不可,日勤・当直不可,,,,,,
2025/09/05 17:34:27,診断09,10/6 3-4限OSCE,,,,,,,,,,,,,,,,日勤・当直不可,日勤・当直不可,日勤・当直不可,日勤・当直不可,日勤・当直不可,,,,,日勤・当直不可,,,,,,
2025/09/05 17:36:53,診断10,,当直不可,,,,,日勤・当直不可,,,,,日勤・当直不可,日勤・当直不可,日勤・当直不可,当直不可,日勤・当直不可,,,,,,,日勤・当直不可,,,日勤・当直不可,,,,,,
2025/09/05 17:37:56,IVR01,,,,当直不可,日勤・当直不可,,,,,,,,日勤・当直不可,日勤・当直不可,,,,,,,,,,,,,,,,,,
2025/09/05 17:39:33,IVR02,,,,,日勤・当直不可,日勤・当直不可,,,,,,,,日勤・当直不可,当直不可,,,,,,,,,,,日勤・当直不可,,当直不可,当直不可,,,
2025/09/05 17:40:31,IVR03,,,当直不可,,,,当直不可,当直不可,当直不可,当直不可,当直不可,,,,,,当直不可,,,,,,,当直不可,,,,,,,当直不可,日勤・当直不可
2025/09/05 17:41:18,IVR04,,,,,,,当直不可,,,,,,,日勤・当直不可,,当直不可,,,,,当直不可,,,,,日勤・当直不可,,当直不可,,,当直不可,日勤・当直不可
2025/09/05 17:45:04,IVR05,"10/6, 10/22 PM OSCE",,当直不可,日勤・当直不可,日勤・当直不可,,,,,,,日勤・当直不可,,,,,日勤・当直不可,日勤・当直不可,日勤・当直不可,日勤・当直不可,,,,,,,,,,,,日勤・当直不可
2025/09/05 17:47:15,IVR07,,,,日勤・当直不可,日勤・当直不可,日勤・当直不可,,,,,,,,,,,,,,,,,,,,,,,日勤・当直不可,,日勤・当直不可,日勤・当直不可
2025/09/05 17:49:44,治療04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/09/05 17:50:44,治療05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/09/07 9:08:40,診断07,,,,,,,,,,,日勤・当直不可,日勤・当直不可,日勤・当直不可,日勤・当直不可,,,当直不可,当直不可,当直不可,当直不可,,,,,,,,,,,,
2025/09/07 9:08:54,診断04,,,,日勤・当直不可,,,,,,,,,,,,,,,,,,,,,,,,,,,,